# Редиректы старых детальных страниц олимпиад (404 из Я.Метрики июн-сен 2026). ВСЕ 127 согласованы с пользователем 2026-09-07.
# Формат: визиты | old_slug | target (target подставляется как /olimpiady/<target>/ )
#
 144 | olimpiada-bibliotechnoe-delo-v-obrazovanii                               | pedagogi/bibliotekar
 103 | olimpiada-okruzhayushchiy-mir-1-4-klass                                  | pedagogi/okruzhayushchiy-mir
  76 | olimpiada-russkiy-yazyk-5-8-klass                                        | pedagogi/russkiy-yazyk
  58 | olimpiada-matematika-5-8-klass                                           | pedagogi/matematika
  43 | olimpiada-russkiy-yazyk-1-4-klass                                        | pedagogi/russkiy-yazyk
  33 | olimpiada-istoriya-5-8-klass                                             | pedagogi/istoriya
  32 | olimpiada-osnovy-spetsialnoy-psikhologii                                 | pedagogi/spetsialnaya-psihologiya
  31 | olimpiada-matematika-1-4-klass                                           | pedagogi/matematika
  28 | olimpiada-metodicheskaya-rabota-v-obrazovanii                            | pedagogi/metodist
  27 | olimpiada-obshchestvoznanie-9-11-klass                                   | pedagogi/obshchestvoznanie
  24 | olimpiada-metody-korrektsionnoy-raboty-ovz                               | pedagogi/korrektsionnaya-pedagogika
  22 | olimpiada-sovremennye-tehnologii-i-robototehnika-v-obrazovanii           | pedagogi/informatika
  22 | olimpiada-matematika-9-11-klass                                          | pedagogi/matematika
  21 | olimpiada-informatsionnye-resursy-shkolnoy-biblioteki                    | pedagogi/bibliotekar
  21 | olimpiada-estestvennye-nauki-9-11-klass                                  | shkolnikam/estestvennye-nauki
  20 | olimpiada-prepodavanie-matematiki-v-sredney-i-starshey-shkole            | pedagogi/matematika
  19 | olimpiada-sovremennye-metodiki-prepodavaniya                             | pedagogi/metodist
  19 | olimpiada-formirovanie-chitatelskoy-gramotnosti                          | pedagogi/literatura
  18 | olimpiada-metodika-prepodavaniya-fiziki-v-shkole                         | pedagogi/fizika
  17 | olimpiada-rabota-klassnogo-rukovoditelya                                 | pedagogi/klassnoe-rukovodstvo
